Gene	Chr_Pos	UniProtID	Descriptor	EC
DNA2	10q21.3-q22.1	P51530	replication ATP-dependent helicase/nuclease DNA2 (hDNA2) (DNA replication ATP-dependent helicase-like homolog) [Includes: DNA replication nuclease DNA2 DNA replication ATP-dependent helicase DNA2 [DNA2L] [KIAA0083]	EC 3.6.4.12)
DNTT	10q23-q24	P04053	nucleotidylexotransferase (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase) [TDT]	EC 2.7.7.31
DUSP13A	10q22.2	Q6B8I1	Dual specificity protein phosphatase 13A (DUSP13A) (Branching-enzyme interacting DSP) (Muscle-restricted DSP) (MDSP) [BEDP] [DUSP13] [MDSP]	EC 3.1.3.48
DUSP13B	10q22.2	Q9UII6	Dual specificity protein phosphatase 13B (Dual specificity phosphatase SKRP4) (Testis- and skeletal-muscle-specific DSP) [DUSP13] [SKRP4] [TMDP]	EC 3.1.3.48
DUSP29	10q22.3	Q68J44	Dual specificity phosphatase 29 (Dual specificity phosphatase 27) (Dual specificity phosphatase DUPD1) [DUPD1] [DUSP27]	EC 3.1.3.48
DUSP5	10q25	Q16690	specificity protein phosphatase 5 (Dual specificity protein phosphatase hVH3) [VH3]	EC 3.1.3.48
ECHS1	10q26.2-q26.3	P30084	hydratase, mitochondrial precursor (mECH) (mECH1) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)	EC 5.3.3.8
ELOVL3	10q24.32	Q9HB03	Very long chain fatty acid elongase 3 (3-keto acyl-CoA synthase ELOVL3) (Cold-inducible glycoprotein of 30 kDa) (ELOVL fatty acid elongase 3) (ELOVL FA elongase 3) (Elongation of very long chain fatty acids protein 3) (Very long chain 3-ketoacyl-CoA synthase 3) (Very long chain 3-oxoacyl-CoA synthase 3) [CIG30]	EC 2.3.1.199
ENO4	10q25.3	A6NNW6	4 (2-phospho-D-glycerate hydro-lyase) [C10orf134]	EC 4.2.1.11
ENTPD1	10q24	P49961	Ectonucleoside triphosphate diphosphohydrolase 1 (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD39 antigen) [CD39]	EC 3.6.1.5
ENTPD7	10q23-q24	Q9NQZ7	Ectonucleoside triphosphate diphosphohydrolase 7 (NTPDase 7) (Lysosomal apyrase-like protein 1) [LALP1]	EC 3.6.1.15
FBH1	10p15.1	Q8NFZ0	DNA helicase 1 (hFBH1) (DNA 3'-5' helicase 1) (F-box only protein 18) [FBX18] [FBXO18]	EC 5.6.2.4
FGFR2	10q26	P21802	Fibroblast growth factor receptor 2 precursor (FGFR-2) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD332 antigen) [BEK] [KGFR] [KSAM]	EC 2.7.10.1
FUOM	10q26.3	A2VDF0	mutarotase [C10orf125]	EC 5.1.3.29
GAD2	10p11.2-p13	Q05329	decarboxylase 2 (65 kDa glutamic acid decarboxylase) (GAD-65) (Glutamate decarboxylase 65 kDa isoform) [GAD65]	EC 4.1.1.15
GLUD1	10q23.3	P00367	dehydrogenase 1, mitochondrial precursor (GDH 1) [GLUD]	EC 1.4.1.3
GOT1	10q24.1-q25.1	P17174	aminotransferase, cytoplasmic (cAspAT) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	EC 2.6.1.3
GPAM	10q24-q26	Q9HCL2	Glycerol-3-phosphate acyltransferase 1, mitochondrial (GPAT-1) [GPAT1] [KIAA1560]	EC 2.3.1.15
GRK5	10q24-qter	P34947	protein-coupled receptor kinase 5 (G protein-coupled receptor kinase GRK5) [GPRK5]	EC 2.7.11.16
GSTO1	10q25.1	P78417	Glutathione S-transferase omega-1 (GSTO-1) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (Monomethylarsonic acid reductase) (MMA(V) reductase) (S-(Phenacyl)glutathione reductase) (SPG-R) [GSTTLP28]	EC 1.20.4.2
GSTO2	10q25.1	Q9H4Y5	Glutathione S-transferase omega-2 (GSTO-2) (Glutathione S-transferase omega 2-2) (GSTO 2-2) (Glutathione-dependent dehydroascorbate reductase) (Monomethylarsonic acid reductase) (MMA(V) reductase)	EC 1.20.4.2
HACD1	10p13-p14	B0YJ81	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A) [PTPLA]	EC 4.2.1.134
HECTD2	10q23.32	Q5U5R9	Probable E3 ubiquitin-protein ligase HECTD2 (HECT domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECTD2)	EC 2.3.2.26
HERC4	10	Q5GLZ8	Probable E3 ubiquitin-protein ligase HERC4 (HECT domain and RCC1-like domain-containing protein 4) (HECT-type E3 ubiquitin transferase HERC4) [KIAA1593]	EC 2.3.2.26
HIF1AN	10q24	Q9NWT6	Hypoxia-inducible factor 1-alpha inhibitor (Factor inhibiting HIF-1) (FIH-1) (Hypoxia-inducible factor asparagine hydroxylase) [FIH1]	EC 1.14.11.n4
HK1	10q22	P19367	(Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)	EC 2.7.1.1
HKDC1	10q21.3	Q2TB90	Hexokinase HKDC1 (Hexokinase domain-containing protein 1)	EC 2.7.1.1
HOGA1	10q24.1	Q86XE5	4-hydroxy-2-oxoglutarate aldolase, mitochondrial precursor (Dihydrodipicolinate synthase-like) (DHDPS-like protein) (Probable 2-keto-4-hydroxyglutarate aldolase) (Probable KHG-aldolase) (Protein 569272) [C10orf65] [DHDPSL]	EC 4.1.3.16
IDE	10q23-q25	P14735	enzyme (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin)	EC 3.4.24.56
IDI1	10p15.3	Q13907	Delta-isomerase 1 (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	EC 5.3.3.2
IDI2	10p15.3	Q9BXS1	delta-isomerase 2 (Isopentenyl pyrophosphate isomerase 2) (IPP isomerase 2) (IPPI2)	EC 5.3.3.2
INPP5A	10q26.3	Q14642	polyphosphate-5-phosphatase A precursor (43 kDa inositol polyphosphate 5-phosphatase) (Type I inositol 1,4,5-trisphosphate 5-phosphatase) (5PTase) [5PTASE]	EC 3.1.3.56
INPP5F	10q26.11	Q9Y2H2	phosphatase SAC2 (Inositol polyphosphate 5-phosphatase F) (Sac domain-containing inositol phosphatase 2) (Sac domain-containing phosphoinositide 4-phosphatase 2) (hSAC2) [KIAA0966] [SAC2] [MSTP007] [MSTP047]	EC 3.1.3.25
IPMK	10q21.1	Q8NFU5	polyphosphate multikinase (Inositol 1,3,4,6-tetrakisphosphate 5-kinase) [IMPK]	EC 2.7.1.153
KAT6B	10q22.2	Q8WYB5	Histone acetyltransferase KAT6B (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor) [KIAA0383] [MORF] [MOZ2] [MYST4]	EC 2.3.1.48
LHPP	10q26.13	Q9H008	phosphohistidine inorganic pyrophosphate phosphatase (hLHPP)	EC 3.6.1.1
LIPA	10q23.2-q23.3	P38571	acid lipase/cholesteryl ester hydrolase precursor (Acid cholesteryl ester hydrolase) (LAL) (Cholesteryl esterase) (Diacylglycerol lipase) (Lipase A) (Sterol esterase) (Triacylglycerol ester hydrolase) (Triacylglycerol lipase)	EC 3.1.1.13
LIPF	10q23.33	P07098	triacylglycerol lipase precursor (GL) (Gastric lipase)	EC 3.1.1.3
LIPN	10q23.31	Q5VXI9	member N precursor (Lipase-like abhydrolase domain-containing protein 4) [LIPL4]	EC 3.1.1.3
LOXL4	10q24	Q96JB6	Lysyl oxidase homolog 4 precursor (Lysyl oxidase-like protein 4) (Lysyl oxidase-related protein C) [LOXC]	EC 1.4.3.13
LYZL1	10p11.23	Q6UWQ5	1 precursor [LYC2] [UNQ648/PRO1278]	EC 3.2.1.17
LYZL2	10p11.23	Q7Z4W2	Lysozyme-like protein 2 precursor (Lysozyme-2)	EC 3.2.1.17
MAP3K8	10p11.23	P41279	protein kinase kinase kinase 8 (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2) [COT] [ESTF]	EC 2.7.11.25
MAPK8	10q21.1	P45983	protein kinase 8 (MAP kinase 8) (MAPK 8) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1) [JNK1] [PRKM8] [SAPK1] [SAPK1C]	EC 2.7.11.24
MARCHF5	10q23.32	Q9NX47	E3 ubiquitin-protein ligase MARCHF5 (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (Mitochondrial ubiquitin ligase) (MITOL) (RING finger protein 153) (RING-type E3 ubiquitin transferase MARCHF5) [MARCH5] [RNF153]	EC 2.3.2.27
MARCHF8	10q11.22	Q5T0T0	E3 ubiquitin-protein ligase MARCHF8 (Cellular modulator of immune recognition) (c-MIR) (Membrane-associated RING finger protein 8) (Membrane-associated RING-CH protein VIII) (MARCH-VIII) (RING finger protein 178) (RING-type E3 ubiquitin transferase MARCHF8) [MARCH8] [MIR] [RNF178]	EC 2.3.2.27
MASTL	10p12.1	Q96GX5	kinase greatwall (GW) (GWL) (hGWL) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L) [GW] [GWL] [THC2]	EC 2.7.11.1
MAT1A	10q22	Q00266	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III) [AMS1] [MATA1]	EC 2.5.1.6
MGMT	10q26	P16455	methyltransferase (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	EC 2.1.1.63
MINDY3	10p13	Q9H8M7	Ubiquitin carboxyl-terminal hydrolase MINDY-3 (Dermal papilla-derived protein 5) (Deubiquitinating enzyme MINDY-3) (Protein CARP) [C10orf97] [CARP] [DERP5] [FAM188A] [MSTP126] [My042]	EC 3.4.19.12
MINPP1	10q23	Q9UNW1	Multiple inositol polyphosphate phosphatase 1 precursor (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) [MIPP] [UNQ900/PRO1917]	EC 3.1.3.80
MSRB2	10p12	Q9Y3D2	Methionine-R-sulfoxide reductase B2, mitochondrial precursor (MsrB2) [CBS-1] [MSRB] [CGI-131]	EC 1.8.4.14
MTPAP	10p11.23	Q9NVV4	Poly(A) RNA polymerase, mitochondrial precursor (PAP) (PAP-associated domain-containing protein 1) (Polynucleotide adenylyltransferase) (Terminal uridylyltransferase 1) (TUTase 1) (mtPAP) [PAPD1]	EC 2.7.7.19
MYO3A	10p11.1	Q8NEV4	Myosin-IIIa	EC 2.7.11.1
NDST2	10q22	P52849	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2 (Glucosaminyl N-deacetylase/N-sulfotransferase 2) (NDST-2) (N-heparan sulfate sulfotransferase 2) (N-HSST 2) [Includes: Heparan sulfate N-deacetylase 2 Heparan sulfate N-sulfotransferase 2 [HSST2]	EC 2.8.2.8
NEURL1	10q24.33-q25.1	O76050	E3 ubiquitin-protein ligase NEURL1 (Neuralized-like protein 1A) (h-neu) (h-neuralized 1) (RING finger protein 67) (RING-type E3 ubiquitin transferase NEURL1) [NEURL] [NEURL1A] [RNF67]	EC 2.3.2.27
NMT2	10pter-p15.1	O60551	N-tetradecanoyltransferase 2 (Myristoyl-CoA:protein N-myristoyltransferase 2) (NMT 2) (Peptide N-myristoyltransferase 2) (Protein-lysine myristoyltransferase NMT2) (Type II N-myristoyltransferase)	EC 2.3.1.97
NT5C2	10cen-q26.11	P49902	purine 5'-nucleotidase (Cytosolic 5'-nucleotidase II) (cN-II) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N) (High Km 5'-nucleotidase) [NT5B] [NT5CP] [PNT5]	EC 2.7.1.77
NUDT13	10q22.3	Q86X67	NAD(P)H pyrophosphatase NUDT13, mitochondrial precursor (Nucleoside diphosphate-linked moiety X motif 13) (Nudix motif 13) (Protein KiSS-16)	EC 3.6.1.22
NUDT5	10p13-p14	Q9UKK9	ADP-sugar pyrophosphatase (8-oxo-dGDP phosphatase) (Nuclear ATP-synthesis protein NUDIX5) (Nucleoside diphosphate-linked moiety X motif 5) (Nudix motif 5) (hNUDT5) (YSA1H) [NUDIX5] [HSPC115]	EC 2.7.7.96
OAT	10q26	P04181	aminotransferase, mitochondrial precursor (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Contains: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	EC 2.6.1.13
OGA	10q24.1-q24.3	O60502	O-GlcNAcase (OGA) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT) [HEXC] [KIAA0679] [MEA5] [MGEA5]	EC 3.2.1.169
OGDHL	10q11.23	Q9ULD0	2-oxoglutarate dehydrogenase-like, mitochondrial precursor (2-oxoglutarate dehydrogenase complex component E1-like) (OGDC-E1-like) (Alpha-ketoglutarate dehydrogenase-like) [KIAA1290]	EC 1.2.4.2
OLAH	10p13	Q9NV23	acid synthase thioesterase, medium chain (Augmented in rheumatoid arthritis 1) (AURA1) (Oleoyl-ACP hydrolase) (Thioesterase 2) (TE2) (Thioesterase II) (Thioesterase domain-containing protein 1) [THEDC1]	EC 3.1.2.14
OTUD1	10p12.31	Q5VV17	OTU domain-containing protein 1 (DUBA-7) [DUBA7] [OTDC1]	EC 3.4.19.12
P4HA1	10q21.3-q23.1	P13674	Prolyl 4-hydroxylase subunit alpha-1 precursor (4-PH alpha-1) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1) [P4HA]	EC 1.14.11.2
PANK1	10q23.31	Q8TE04	Pantothenate kinase 1 (hPanK) (hPanK1) (Pantothenic acid kinase 1) [PANK]	EC 2.7.1.33
PAOX	10q26.3	Q6QHF9	N(1)-acetyl-spermine/spermidine oxidase (Polyamine oxidase) [PAO] [UNQ1923/PRO4398]	EC 1.5.3.13
PAPSS2	10q23-q24	O95340	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)] [ATPSK2]	EC 2.7.1.25
PARG	10q11.23	Q86W56	glycohydrolase	EC 3.2.1.143
PCBD1	10q22	P61457	dehydratase (PHS) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD) [DCOH] [PCBD]	EC 4.2.1.96
PDE6C	10q24	P51160	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' precursor (cGMP phosphodiesterase 6C) [PDEA2]	EC 3.1.4.35
PDSS1	10p12.1	Q5T2R2	trans-polyprenyl-diphosphate synthase PDSS1 (All-trans-decaprenyl-diphosphate synthase subunit 1) (Decaprenyl pyrophosphate synthase subunit 1) (Decaprenyl-diphosphate synthase subunit 1) (Solanesyl-diphosphate synthase subunit 1) (Trans-prenyltransferase 1) (TPT 1) [DPS1] [TPRT]	EC 2.5.1.91
PFKFB3	10p14-p15	Q16875	3 (6PF-2-K/Fru-2,6-P2ase 3) (PFK/FBPase 3) (6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme) (Renal carcinoma antigen NY-REN-56) (iPFK-2) [Includes: 6-phosphofructo-2-kinase Fructose-2,6-bisphosphatase	EC 3.1.3.46)
PFKP	10p15.2-p15.3	Q01813	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase) [PFKF]	EC 2.7.1.11
PGAM1	10q25.3	P18669	Phosphoglycerate mutase 1 (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B) [PGAMA] [CDABP0006]	EC 5.4.2.4
PHYH	10p12.2-p15.3	O14832	dioxygenase, peroxisomal precursor (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH) [PAHX]	EC 1.14.11.18
PI4K2A	10q24.1	Q9BTU6	Phosphatidylinositol 4-kinase type 2-alpha (Phosphatidylinositol 4-kinase type II-alpha)	EC 2.7.1.67
PIP4K2A	10p11.23	P48426	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-Phosphate 4-Kinase) (PI5P4Kalpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha) [PI5P4KA] [PIP5K2] [PIP5K2A]	EC 2.7.1.149
PLAU	10q24	P00749	plasminogen activator precursor (U-plasminogen activator) (uPA) [Contains: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	EC 3.4.21.73
PLCE1	10q23	Q9P212	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (Pancreas-enriched phospholipase C) (Phosphoinositide phospholipase C-epsilon-1) (Phospholipase C-epsilon-1) (PLC-epsilon-1) [KIAA1516] [PLCE] [PPLC]	EC 3.1.4.11
PLPP4	10q26.12	Q5VZY2	4 (Phosphatidic acid phosphatase type 2 domain-containing protein 1A) [DPPL2] [PPAPDC1] [PPAPDC1A]	EC 3.6.1.75
PNLIP	10q26.1	P16233	triacylglycerol lipase precursor (PL) (PTL) (Pancreatic lipase)	EC 3.1.1.3
PNLIPRP2	10q26.2	P54317	Pancreatic lipase-related protein 2 precursor (PL-RP2) (Cytotoxic T lymphocyte lipase) (Galactolipase) (Triacylglycerol lipase) [PLRP2]	EC 3.1.1.3
PNLIPRP3	10q25.3	Q17RR3	protein 3 precursor (PL-RP3)	EC 3.1.1.3
POLL	10q23	Q9UGP5	DNA polymerase lambda (Pol Lambda) (DNA polymerase beta-2) (Pol beta2) (DNA polymerase kappa)	EC 2.7.7.7
POLR3A	10q22-q23	O14802	RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (DNA-directed RNA polymerase III largest subunit) (DNA-directed RNA polymerase III subunit A) (RNA polymerase III 155 kDa subunit) (RPC155) (RNA polymerase III subunit C160)	EC 2.7.7.6
PPA1	10q21.3	Q15181	pyrophosphatase (Pyrophosphate phospho-hydrolase) (PPase) [IOPPP] [PP]	EC 3.6.1.1
PPIF	10q22-q23	P30405	cis-trans isomerase F, mitochondrial precursor (PPIase F) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F) [CYP3]	EC 5.2.1.8
PPP3CB	10q21-q22	P16298	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit beta isoform) (CNA beta) [CALNA2] [CALNB] [CNA2]	EC 3.1.3.16
PRDX3	10q25-q26	P30048	Thioredoxin-dependent peroxide reductase, mitochondrial precursor (Antioxidant protein 1) (AOP-1) (HBC189) (Peroxiredoxin III) (Prx-III) (Peroxiredoxin-3) (Protein MER5 homolog) (Thioredoxin-dependent peroxiredoxin 3) [AOP1]	EC 1.11.1.24
PRKCQ	10p15	Q04759	kinase C theta type (nPKC-theta) [PRKCT]	EC 2.7.11.13
PRKG1	10q11.1	Q13976	protein kinase 1 (cGK 1) (cGK1) (cGMP-dependent protein kinase I) (cGKI) [PRKG1B] [PRKGR1A] [PRKGR1B]	EC 2.7.11.12
PSTK	10q26.13	Q8IV42	kinase (O-phosphoseryl-tRNA(Sec) kinase) [C10orf89]	EC 2.7.1.164
PTEN	10q23.3	P60484	3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (Inositol polyphosphate 3-phosphatase) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog) [MMAC1] [TEP1]	EC 3.1.3.67
PTPN20	10q11.22	Q4JDL3	Tyrosine-protein phosphatase non-receptor type 20 (hPTPN20) [PTPN20A] [PTPN20B]	EC 3.1.3.48
PTPRE	10q26	P23469	Receptor-type tyrosine-protein phosphatase epsilon precursor (Protein-tyrosine phosphatase epsilon) (R-PTP-epsilon)	EC 3.1.3.48
RET	10q11.2	P07949	tyrosine-protein kinase receptor Ret precursor (Cadherin family member 12) (Proto-oncogene c-Ret) [Contains: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment] [CDHF12] [CDHR16] [PTC]	EC 2.7.10.1
RNLS	10q23.31	Q5VYX0	precursor (Monoamine oxidase-C) (MAO-C) [C10orf59]	EC 1.6.3.5
RPEL1	10q24.33	Q2QD12	protein 1 (Ribulose-5-phosphate-3-epimerase-like protein 1)	EC 5.1.3.1
SAR1A	10q22.2	Q9NR31	Small COPII coat GTPase SAR1A (COPII-associated small GTPase) (Secretion-associated Ras-related GTPase 1A) [SAR1] [SARA] [SARA1]	EC 3.6.5.2
SCD	10q23-q24	O00767	desaturase (hSCD1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase) [FADS5] [SCD1] [SCDOS]	EC 1.14.19.1
SEPHS1	10p14	P49903	water dikinase 1 (Selenium donor protein 1) (Selenophosphate synthase 1) [SELD] [SPS] [SPS1]	EC 2.7.9.3
SGMS1	10q11.2	Q86VZ5	cholinephosphotransferase 1 (Medulla oblongata-derived protein) (Protein Mob) (Sphingomyelin synthase 1) (Transmembrane protein 23) [MOB] [SMS1] [TMEM23]	EC 2.7.8.27
SGPL1	10q22	O95470	Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (Sphingosine-1-phosphate aldolase) [KIAA1252]	EC 4.1.2.27
SIRT1	10q22.1	Q96EB6	protein deacetylase sirtuin-1 (hSIRT1) (NAD-dependent protein deacylase sirtuin-1) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Contains: SirtT1 75 kDa fragment (75SirT1)] [SIR2L1]	EC 2.3.1.286
SLK	10q25.1	Q9H2G2	serine/threonine-protein kinase (STE20-like kinase) (hSLK) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2) [KIAA0204] [STK2]	EC 2.7.11.1
STK32C	10q26.3	Q86UX6	32C (PKE) (Yet another novel kinase 3) [YANK3]	EC 2.7.11.1
SUPV3L1	10q22.1	Q8IYB8	RNA helicase SUPV3L1, mitochondrial precursor (Suppressor of var1 3-like protein 1) (SUV3-like protein 1) [SUV3]	EC 3.6.4.13
SUV39H2	10p13	Q9H5I1	Histone-lysine N-methyltransferase SUV39H2 (Histone H3-K9 methyltransferase 2) (H3-K9-HMTase 2) (Lysine N-methyltransferase 1B) (Suppressor of variegation 3-9 homolog 2) (Su(var)3-9 homolog 2) [KMT1B]	EC 2.1.1.355
TET1	10q21	Q8NFU7	dioxygenase TET1 (CXXC-type zinc finger protein 6) (Leukemia-associated protein with a CXXC domain) (Ten-eleven translocation 1 gene protein) [CXXC6] [KIAA1676] [LCX]	EC 1.14.11.80
TNKS2	10q23.3	Q9H2K2	Poly [ADP-ribose] polymerase tankyrase-2 (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (Poly [ADP-ribose] polymerase 5B) (Protein poly-ADP-ribosyltransferase tankyrase-2) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II) (Tankyrase-2) (TANK2) (Tankyrase-like protein) (Tankyrase-related protein) [PARP5B] [TANK2] [TNKL]	EC 2.4.2.30
TRDMT1	10p15.1	O14717	tRNA (cytosine(38)-C(5))-methyltransferase (DNA (cytosine-5)-methyltransferase-like protein 2) (Dnmt2) (DNA methyltransferase homolog HsaIIP) (DNA MTase homolog HsaIIP) (M.HsaIIP) (PuMet) [DNMT2]	EC 2.1.1.204
TRIM8	10q24.3	Q9BZR9	E3 ubiquitin-protein ligase TRIM8 (Glioblastoma-expressed RING finger protein) (RING finger protein 27) (RING-type E3 ubiquitin transferase TRIM8) (Tripartite motif-containing protein 8) [GERP] [RNF27]	EC 2.3.2.27
TRUB1	10q25.3	Q8WWH5	Pseudouridylate synthase TRUB1 (TruB pseudouridine synthase homolog 1) (tRNA pseudouridine 55 synthase TRUB1) (Psi55 synthase TRUB1) [PUS4]	EC 5.4.99.25
TWNK	10q24	Q96RR1	mtDNA helicase precursor (Progressive external ophthalmoplegia 1 protein) (T7 gp4-like protein with intramitochondrial nucleoid localization) (T7-like mitochondrial DNA helicase) (Twinkle protein, mitochondrial) [C10orf2] [PEO1]	EC 5.6.2.3
UBE2D1	10q11.2-q21	P51668	Ubiquitin-conjugating enzyme E2 D1 ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (E2 ubiquitin-conjugating enzyme D1) (Stimulator of Fe transport) (SFT) (UBC4/5 homolog) (UbcH5) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1) [SFT] [UBC5A] [UBCH5] [UBCH5A]	EC 2.3.2.24
UROS	10q25.2-q26.3	P10746	synthase (UROIIIS) (UROS) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	EC 4.2.1.75
USP54	10q22.2	Q70EL1	hydrolase 54 (Ubiquitin-specific peptidase 54) [C10orf29]	EC 3.4.19.12
XPNPEP1	10q25.3	Q9NQW7	aminopeptidase 1 (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble) [XPNPEPL] [XPNPEPL1]	EC 3.4.11.9
ZDHHC16	10q24.1	Q969W1	Palmitoyltransferase ZDHHC16 (Abl-philin 2) (Zinc finger DHHC domain-containing protein 16) (DHHC-16) [APH2] [UNQ2570/PRO6258]	EC 2.3.1.225
ZDHHC6	10q25.3	Q9H6R6	Palmitoyltransferase ZDHHC6 (Stearoyltransferase ZDHHC6) (Transmembrane protein H4) (Zinc finger DHHC domain-containing protein 6) (DHHC-6) (Zinc finger protein 376) [ZNF376]	EC 2.3.1.225
ZRANB1	10q22.1-q25.3	Q9UGI0	Ubiquitin thioesterase ZRANB1 (TRAF-binding domain-containing protein) (hTrabid) (Zinc finger Ran-binding domain-containing protein 1) [TRABID]	EC 3.4.19.12
